"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"lb_adm_message_successfully_updated_ban","Successfully updated ban","Ban wurde erfolgreich bearbeitet","Successfully updated ban","Successfully updated ban","Successfully updated ban","Pomyślnie zaktualizowano bana","Successfully updated ban","Successfully updated ban","Successfully updated ban","Successfully updated ban","Successfully updated ban","Successfully updated ban","Successfully updated ban","Successfully updated ban",
"lb_adm_message_cannot_modify_server_bane","You cannot modify bans not issued by you!","Du kannst Bans, die nicht von dir sind, nicht bearbeiten","You cannot modify bans not issued by you!","You cannot modify bans not issued by you!","You cannot modify bans not issued by you!","Nie możesz modyfikować banów, które nie zostały przez Ciebie nałożone!","You cannot modify bans not issued by you!","You cannot modify bans not issued by you!","You cannot modify bans not issued by you!","You cannot modify bans not issued by you!","You cannot modify bans not issued by you!","You cannot modify bans not issued by you!","You cannot modify bans not issued by you!","You cannot modify bans not issued by you!",
"lb_adm_message_could_not_find_this_ban","Could not find this ban","Ban Eintrag konnte nicht gefunden werden","Could not find this ban","Could not find this ban","Could not find this ban","Nie znaleziono tego bana","Could not find this ban","Could not find this ban","Could not find this ban","Could not find this ban","Could not find this ban","Could not find this ban","Could not find this ban","Could not find this ban",
"lb_adm_message_successfully_unbanned_player","Successfully unbanned player","Spieler erfolgreich entsperrt","Successfully unbanned player","Successfully unbanned player","Successfully unbanned player","Pomyślnie odbanowano gracza","Successfully unbanned player","Successfully unbanned player","Successfully unbanned player","Successfully unbanned player","Successfully unbanned player","Successfully unbanned player","Successfully unbanned player","Successfully unbanned player",
"lb_adm_message_no_permissions","You don't have the permissions to do that","Du hast dazu keine Berechtigung","You don't have the permissions to do that","You don't have the permissions to do that","You don't have the permissions to do that","Nie masz uprawnień, aby to zrobić","You don't have the permissions to do that","You don't have the permissions to do that","You don't have the permissions to do that","You don't have the permissions to do that","You don't have the permissions to do that","You don't have the permissions to do that","You don't have the permissions to do that","You don't have the permissions to do that",
"lb_adm_message_could_not_find_item_to_delete","Could not find item to delete","Gegenstand zum Löschen konnte nicht gefunden werden","Could not find item to delete","Could not find item to delete","Could not find item to delete","Nie znaleziono przedmiotu do usunięcia","Could not find item to delete","Could not find item to delete","Could not find item to delete","Could not find item to delete","Could not find item to delete","Could not find item to delete","Could not find item to delete","Could not find item to delete",
"lb_adm_message_wait_until_operation_finished","Please wait until the last operation finished","Bitte warte, bis die vorherige Aktion abgeschlossen ist","Please wait until the last operation finished","Please wait until the last operation finished","Please wait until the last operation finished","Proszę czekać, aż ostatnia operacja się zakończy","Please wait until the last operation finished","Please wait until the last operation finished","Please wait until the last operation finished","Please wait until the last operation finished","Please wait until the last operation finished","Please wait until the last operation finished","Please wait until the last operation finished","Please wait until the last operation finished",
"lb_adm_message_no_permissions_for_action","No permission to perform this action!","Du hast keine Berechtigung, um diese Aktion auszuführen!","No permission to perform this action!","No permission to perform this action!","No permission to perform this action!","Brak uprawnień do wykonania tej akcji!","No permission to perform this action!","No permission to perform this action!","No permission to perform this action!","No permission to perform this action!","No permission to perform this action!","No permission to perform this action!","No permission to perform this action!","No permission to perform this action!",
"lb_adm_message_successfully_healed_an_ai","Successfully healed an AI","Erfolgreich eine KI geheilt","Successfully healed an AI","Successfully healed an AI","Successfully healed an AI","Pomyślnie wyleczono AI","Successfully healed an AI","Successfully healed an AI","Successfully healed an AI","Successfully healed an AI","Successfully healed an AI","Successfully healed an AI","Successfully healed an AI","Successfully healed an AI",
"lb_adm_message_cannot_heal_multiple","You cannot heal multiple players at once!","Du kannst nicht mehrere Spieler gleichzeitig heilen","You cannot heal multiple players at once!","You cannot heal multiple players at once!","You cannot heal multiple players at once!","Nie możesz leczyć wielu graczy jednocześnie!","You cannot heal multiple players at once!","You cannot heal multiple players at once!","You cannot heal multiple players at once!","You cannot heal multiple players at once!","You cannot heal multiple players at once!","You cannot heal multiple players at once!","You cannot heal multiple players at once!","You cannot heal multiple players at once!",
"lb_adm_message_you_cannot_spawn_this_item","You cannot spawn this item!","Du darfst diesen Gegenstand nicht spawnen!","You cannot spawn this item!","You cannot spawn this item!","You cannot spawn this item!","Nie możesz zrespić tego przedmiotu!","You cannot spawn this item!","You cannot spawn this item!","You cannot spawn this item!","You cannot spawn this item!","You cannot spawn this item!","You cannot spawn this item!","You cannot spawn this item!","You cannot spawn this item!",
"lb_adm_text_freecam","Freecam","Freie Kamera","Freecam","Freecam","Freecam","Wolna Kamera","Freecam","Freecam","Freecam","Freecam","Freecam","Freecam","Freecam","Freecam",
"lb_adm_text_temp_player","Temp Player","Temp Spieler","Temp Player","Temp Player","Temp Player","Tymczasowy Gracz","Temp Player","Temp Player","Temp Player","Temp Player","Temp Player","Temp Player","Temp Player","Temp Player",
"lb_adm_message_building_set_saved","Sucessfully saved %name% Enabled: %enabled%","Erfolgreich %name% gespeichert. Aktiviert: %enabled%","Sucessfully saved %name% Enabled: %enabled%","Sucessfully saved %name% Enabled: %enabled%","Sucessfully saved %name% Enabled: %enabled%","Pomyślnie zapisano %name% Włączony: %enabled%","Sucessfully saved %name% Enabled: %enabled%","Sucessfully saved %name% Enabled: %enabled%","Sucessfully saved %name% Enabled: %enabled%","Sucessfully saved %name% Enabled: %enabled%","Sucessfully saved %name% Enabled: %enabled%","Sucessfully saved %name% Enabled: %enabled%","Sucessfully saved %name% Enabled: %enabled%","Sucessfully saved %name% Enabled: %enabled%",
"lb_adm_message_building_set_not_found_name","Could not find building set %name%","Gebäude-Gruppe %name% konnte nicht gefunden werden","Could not find building set %name%","Could not find building set %name%","Could not find building set %name%","Nie znaleziono zestawu budowlanego %name%","Could not find building set %name%","Could not find building set %name%","Could not find building set %name%","Could not find building set %name%","Could not find building set %name%","Could not find building set %name%","Could not find building set %name%","Could not find building set %name%",
"lb_adm_message_building_set_name_used","Name %name% already used","Der Name %name% wird bereits genutzt","Name %name% already used","Name %name% already used","Name %name% already used","Nazwa %name% jest już używana","Name %name% already used","Name %name% already used","Name %name% already used","Name %name% already used","Name %name% already used","Name %name% already used","Name %name% already used","Name %name% already used",
"lb_adm_message_building_set_renamed","Successfully renamed building set to %name%","Gebäude-Gruppe wurde erfolgreich zu %name% umbenannt","Successfully renamed building set to %name%","Successfully renamed building set to %name%","Successfully renamed building set to %name%","Pomyślnie zmieniono nazwę zestawu budowlanego na %name%","Successfully renamed building set to %name%","Successfully renamed building set to %name%","Successfully renamed building set to %name%","Successfully renamed building set to %name%","Successfully renamed building set to %name%","Successfully renamed building set to %name%","Successfully renamed building set to %name%","Successfully renamed building set to %name%",
"lb_adm_message_building_set_not_found_delete","Could not find building set %name% to delete","Gebäude-Gruppe %name% konnte nicht gefunden werden zum Löschen","Could not find building set %name% to delete","Could not find building set %name% to delete","Could not find building set %name% to delete","Nie znaleziono zestawu budowlanego %name% do usunięcia","Could not find building set %name% to delete","Could not find building set %name% to delete","Could not find building set %name% to delete","Could not find building set %name% to delete","Could not find building set %name% to delete","Could not find building set %name% to delete","Could not find building set %name% to delete","Could not find building set %name% to delete",
"lb_adm_message_building_set_enabled","Enabled Building Set %name%","Gebäude-Gruppe %name% wurde aktiviert","Enabled Building Set %name%","Enabled Building Set %name%","Enabled Building Set %name%","Włączony Zestaw Budowlany %name%","Enabled Building Set %name%","Enabled Building Set %name%","Enabled Building Set %name%","Enabled Building Set %name%","Enabled Building Set %name%","Enabled Building Set %name%","Enabled Building Set %name%","Enabled Building Set %name%",
"lb_adm_message_building_set_disabled","Disabled Building Set %name%","Gebäude-Gruppe %name% wurde deaktiviert","Disabled Building Set %name%","Disabled Building Set %name%","Disabled Building Set %name%","Wyłączony Zestaw Budowlany %name%","Disabled Building Set %name%","Disabled Building Set %name%","Disabled Building Set %name%","Disabled Building Set %name%","Disabled Building Set %name%","Disabled Building Set %name%","Disabled Building Set %name%","Disabled Building Set %name%",
"lb_adm_admin_message","Admin Message","Admin Nachricht","Admin Message","Admin Message","Admin Message","Wiadomość Administratora","Admin Message","Admin Message","Admin Message","Admin Message","Admin Message","Admin Message","Admin Message","Admin Message",
"lb_adm_message_set_scale","Set scale of %player% to %scale%","Größe von %player% wurde auf %scale% gesetzt","Set scale of %player% to %scale%","Set scale of %player% to %scale%","Set scale of %player% to %scale%","Ustaw skalę %player% na %scale%","Set scale of %player% to %scale%","Set scale of %player% to %scale%","Set scale of %player% to %scale%","Set scale of %player% to %scale%","Set scale of %player% to %scale%","Set scale of %player% to %scale%","Set scale of %player% to %scale%","Set scale of %player% to %scale%",
"lb_adm_message_set_scale_multi","Set scale of %count% Players to %scale%","Größe von %count% Spielern auf %scale% gesetzt","Set scale of %count% Players to %scale%","Set scale of %count% Players to %scale%","Set scale of %count% Players to %scale%","Ustaw skalę %count% graczy na %scale%","Set scale of %count% Players to %scale%","Set scale of %count% Players to %scale%","Set scale of %count% Players to %scale%","Set scale of %count% Players to %scale%","Set scale of %count% Players to %scale%","Set scale of %count% Players to %scale%","Set scale of %count% Players to %scale%","Set scale of %count% Players to %scale%",
"lb_adm_message_cannot_kick","You cannot kick %name%","Du kannst %name% nicht rauswerfen","You cannot kick %name%","You cannot kick %name%","You cannot kick %name%","Nie możesz wyrzucić %name%","You cannot kick %name%","You cannot kick %name%","You cannot kick %name%","You cannot kick %name%","You cannot kick %name%","You cannot kick %name%","You cannot kick %name%","You cannot kick %name%",
"lb_adm_message_successfully_kicked","Successfully Kicked %name%","%name% erfolgreich rausgeworfen","Successfully Kicked %name%","Successfully Kicked %name%","Successfully Kicked %name%","Pomyślnie wyrzucono %name%","Successfully Kicked %name%","Successfully Kicked %name%","Successfully Kicked %name%","Successfully Kicked %name%","Successfully Kicked %name%","Successfully Kicked %name%","Successfully Kicked %name%","Successfully Kicked %name%",
"lb_adm_message_successfully_kicked_multiple","Successfully Kicked %kicked% of %count% Players","Erfolgreich %kicked% von %count% Spielern rausgeworfen","Successfully Kicked %kicked% of %count% Players","Successfully Kicked %kicked% of %count% Players","Successfully Kicked %kicked% of %count% Players","Pomyślnie wyrzucono %kicked% z %count% graczy","Successfully Kicked %kicked% of %count% Players","Successfully Kicked %kicked% of %count% Players","Successfully Kicked %kicked% of %count% Players","Successfully Kicked %kicked% of %count% Players","Successfully Kicked %kicked% of %count% Players","Successfully Kicked %kicked% of %count% Players","Successfully Kicked %kicked% of %count% Players","Successfully Kicked %kicked% of %count% Players",
"lb_adm_message_deleted_items_all","Successfully deleted all %deleted% items","Erfolgreich alle %deleted% Gegenstände gelöscht","Successfully deleted all %deleted% items","Successfully deleted all %deleted% items","Successfully deleted all %deleted% items","Pomyślnie usunięto wszystkie %deleted% przedmioty","Successfully deleted all %deleted% items","Successfully deleted all %deleted% items","Successfully deleted all %deleted% items","Successfully deleted all %deleted% items","Successfully deleted all %deleted% items","Successfully deleted all %deleted% items","Successfully deleted all %deleted% items","Successfully deleted all %deleted% items",
"lb_adm_message_deleted_items_some","Successfully deleted %deleted% of %count% items","Erfolgreich %deleted% von %count% Gegenständen gelöscht","Successfully deleted %deleted% of %count% items","Successfully deleted %deleted% of %count% items","Successfully deleted %deleted% of %count% items","Pomyślnie usunięto %deleted% z %count% przedmiotów","Successfully deleted %deleted% of %count% items","Successfully deleted %deleted% of %count% items","Successfully deleted %deleted% of %count% items","Successfully deleted %deleted% of %count% items","Successfully deleted %deleted% of %count% items","Successfully deleted %deleted% of %count% items","Successfully deleted %deleted% of %count% items","Successfully deleted %deleted% of %count% items",
"lb_adm_disabled","Disabled","Deaktiviert","Disabled","Disabled","Disabled","Wyłączony","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled",
"lb_adm_message_modifier_enabled","Enabled: %name% for %count% Players","Aktiviert: %name% für %count% Spieler","Enabled: %name% for %count% Players","Enabled: %name% for %count% Players","Enabled: %name% for %count% Players","Włączono: %name% dla %count% Graczy","Enabled: %name% for %count% Players","Enabled: %name% for %count% Players","Enabled: %name% for %count% Players","Enabled: %name% for %count% Players","Enabled: %name% for %count% Players","Enabled: %name% for %count% Players","Enabled: %name% for %count% Players","Enabled: %name% for %count% Players",
"lb_adm_message_modifier_disabled","Disabled: %name% for %count% Players","Deaktiviert: %name% für %count% Spieler","Disabled: %name% for %count% Players","Disabled: %name% for %count% Players","Disabled: %name% for %count% Players","Wyłączono: %name% dla %count% Graczy","Disabled: %name% for %count% Players","Disabled: %name% for %count% Players","Disabled: %name% for %count% Players","Disabled: %name% for %count% Players","Disabled: %name% for %count% Players","Disabled: %name% for %count% Players","Disabled: %name% for %count% Players","Disabled: %name% for %count% Players",
"lb_adm_message_repaired_vehicle","Successfully repaired %name%","%name% wurder erfolgreich repariert","Successfully repaired %name%","Successfully repaired %name%","Successfully repaired %name%","Pomyślnie naprawiono %name%","Successfully repaired %name%","Successfully repaired %name%","Successfully repaired %name%","Successfully repaired %name%","Successfully repaired %name%","Successfully repaired %name%","Successfully repaired %name%","Successfully repaired %name%",
"lb_adm_message_healed_players","Healed %count% Players","%count% Spieler geheilt","Healed %count% Players","Healed %count% Players","Healed %count% Players","Wyleczono %count% graczy","Healed %count% Players","Healed %count% Players","Healed %count% Players","Healed %count% Players","Healed %count% Players","Healed %count% Players","Healed %count% Players","Healed %count% Players",
"lb_adm_message_spawned_players","Spawned %item% for %count% players","Gegenstand %item% für %count% Spieler gespawned","Spawned %item% for %count% players","Spawned %item% for %count% players","Spawned %item% for %count% players","Zrespiono %item% dla %count% graczy","Spawned %item% for %count% players","Spawned %item% for %count% players","Spawned %item% for %count% players","Spawned %item% for %count% players","Spawned %item% for %count% players","Spawned %item% for %count% players","Spawned %item% for %count% players","Spawned %item% for %count% players",
"lb_adm_esp","ESP","ESP","ESP","ESP","ESP","ESP","ESP","ESP","ESP","ESP","ESP","ESP","ESP","ESP",
"lb_adm_admin_tools","Admin Tools","Admintools","Admin Tools","Admin Tools","Admin Tools","Narzędzia Administratora","Admin Tools","Admin Tools","Admin Tools","Admin Tools","Admin Tools","Admin Tools","Admin Tools","Admin Tools",
"lb_adm_message_copied_position","Copied position to clipboard","Position in die Zwischenablage kopiert","Copied position to clipboard","Copied position to clipboard","Copied position to clipboard","Skopiowano pozycję do schowka","Copied position to clipboard","Copied position to clipboard","Copied position to clipboard","Copied position to clipboard","Copied position to clipboard","Copied position to clipboard","Copied position to clipboard","Copied position to clipboard",
"lb_adm_message_delete_confirm","Are you sure you want to delete %itemname%(%displayname%)?","Bist du sicher, dass du %itemname%(%displayname%) löschen willst?","Are you sure you want to delete %itemname%(%displayname%)?","Are you sure you want to delete %itemname%(%displayname%)?","Are you sure you want to delete %itemname%(%displayname%)?","Czy na pewno chcesz usunąć %itemname%(%displayname%)?","Are you sure you want to delete %itemname%(%displayname%)?","Are you sure you want to delete %itemname%(%displayname%)?","Are you sure you want to delete %itemname%(%displayname%)?","Are you sure you want to delete %itemname%(%displayname%)?","Are you sure you want to delete %itemname%(%displayname%)?","Are you sure you want to delete %itemname%(%displayname%)?","Are you sure you want to delete %itemname%(%displayname%)?","Are you sure you want to delete %itemname%(%displayname%)?",
"lb_adm_message_healed_player","Successfully healed player %name%","Erfolgreich %name% geheilt","Successfully healed player %name%","Successfully healed player %name%","Successfully healed player %name%","Pomyślnie wyleczono gracza %name%","Successfully healed player %name%","Successfully healed player %name%","Successfully healed player %name%","Successfully healed player %name%","Successfully healed player %name%","Successfully healed player %name%","Successfully healed player %name%","Successfully healed player %name%",
"lb_adm_message_could_not_find_building_set","Could not find Building Set %name%","Konnte Gebäude-Gruppe %name% nicht finden","Could not find Building Set %name%","Could not find Building Set %name%","Could not find Building Set %name%","Nie znaleziono zestawu budowlanego %name%","Could not find Building Set %name%","Could not find Building Set %name%","Could not find Building Set %name%","Could not find Building Set %name%","Could not find Building Set %name%","Could not find Building Set %name%","Could not find Building Set %name%","Could not find Building Set %name%",
"lb_adm_add_position","Add Position","Position hinzufügen","Add Position","Add Position","Add Position","Dodaj Pozycję","Add Position","Add Position","Add Position","Add Position","Add Position","Add Position","Add Position","Add Position",
"lb_adm_edit_position","Edit Position","Position bearbeiten","Edit Position","Edit Position","Edit Position","Edytuj Pozycję","Edit Position","Edit Position","Edit Position","Edit Position","Edit Position","Edit Position","Edit Position","Edit Position",
"lb_adm_message_position_not_empty","Position Name must not be empty!","Der Positions-Name darf nicht leer sein!","Position Name must not be empty!","Position Name must not be empty!","Position Name must not be empty!","Nazwa pozycji nie może być pusta!","Position Name must not be empty!","Position Name must not be empty!","Position Name must not be empty!","Position Name must not be empty!","Position Name must not be empty!","Position Name must not be empty!","Position Name must not be empty!","Position Name must not be empty!",
"lb_adm_message_position_format","Position does not match the format x,y,z or <x,y,z> or x/z!","Die Position muss in dem Format x,y,z oder <x,y,z> oder x/z sein!","Position does not match the format x,y,z or <x,y,z> or x/z!","Position does not match the format x,y,z or <x,y,z> or x/z!","Position does not match the format x,y,z or <x,y,z> or x/z!","Pozycja nie odpowiada formatowi x,y,z lub <x,y,z> lub x/z!","Position does not match the format x,y,z or <x,y,z> or x/z!","Position does not match the format x,y,z or <x,y,z> or x/z!","Position does not match the format x,y,z or <x,y,z> or x/z!","Position does not match the format x,y,z or <x,y,z> or x/z!","Position does not match the format x,y,z or <x,y,z> or x/z!","Position does not match the format x,y,z or <x,y,z> or x/z!","Position does not match the format x,y,z or <x,y,z> or x/z!","Position does not match the format x,y,z or <x,y,z> or x/z!",
"lb_adm_message_orientation_format","Orientation does not match the format y,p,r or yaw,pitch or yaw!","Die Orientierung muss in dem Format y,p,r oder yaw,pitch oder yaw sein!","Orientation does not match the format y,p,r or yaw,pitch or yaw!","Orientation does not match the format y,p,r or yaw,pitch or yaw!","Orientation does not match the format y,p,r or yaw,pitch or yaw!","Orientacja nie odpowiada formatowi y,p,r lub yaw,pitch albo yaw!","Orientation does not match the format y,p,r or yaw,pitch or yaw!","Orientation does not match the format y,p,r or yaw,pitch or yaw!","Orientation does not match the format y,p,r or yaw,pitch or yaw!","Orientation does not match the format y,p,r or yaw,pitch or yaw!","Orientation does not match the format y,p,r or yaw,pitch or yaw!","Orientation does not match the format y,p,r or yaw,pitch or yaw!","Orientation does not match the format y,p,r or yaw,pitch or yaw!","Orientation does not match the format y,p,r or yaw,pitch or yaw!",
"lb_adm_title_active_modifier","Active Modifier","Aktive Modifikatoren","Active Modifier","Active Modifier","Active Modifier","Aktywny Modyfikator","Active Modifier","Active Modifier","Active Modifier","Active Modifier","Active Modifier","Active Modifier","Active Modifier","Active Modifier",
"lb_adm_desc_active_modifier","A simple overlay displaying currently used modifiers like Godmode, Freecam, ESP etc.","Ein einfacher Overlay, dass die altiell verwendeten Modifikatoren, wie Unverwundbarkeit, Freie Kamera, ESP usw. anzeigt","A simple overlay displaying currently used modifiers like Godmode, Freecam, ESP etc.","A simple overlay displaying currently used modifiers like Godmode, Freecam, ESP etc.","A simple overlay displaying currently used modifiers like Godmode, Freecam, ESP etc.","Prosty nakładka wyświetlająca aktualnie używane modyfikatory, takie jak Tryb Boga, Wolna Kamera, ESP itd.","A simple overlay displaying currently used modifiers like Godmode, Freecam, ESP etc.","A simple overlay displaying currently used modifiers like Godmode, Freecam, ESP etc.","A simple overlay displaying currently used modifiers like Godmode, Freecam, ESP etc.","A simple overlay displaying currently used modifiers like Godmode, Freecam, ESP etc.","A simple overlay displaying currently used modifiers like Godmode, Freecam, ESP etc.","A simple overlay displaying currently used modifiers like Godmode, Freecam, ESP etc.","A simple overlay displaying currently used modifiers like Godmode, Freecam, ESP etc.","A simple overlay displaying currently used modifiers like Godmode, Freecam, ESP etc.",
"lb_adm_title_ban_manager","Ban Manager","Ban-Verwaltung","Ban Manager","Ban Manager","Ban Manager","Menedżer Banów","Ban Manager","Ban Manager","Ban Manager","Ban Manager","Ban Manager","Ban Manager","Ban Manager","Ban Manager",
"lb_adm_desc_ban_manager_delete_expired","Here you can ban players from your server. You can either select the player in the player list and then click on Ban in the Player Info menu, or you click on new ban and select a player. When not selecting a player, you can enter the steamid and name of the player manually if he never played on your server. You can ban players permanently or for a certain duration. You can also search for bans here. You can filter by the banned player, the admin, who banned the player and the reason. You can also hide expired bans. Expired bans are deleted on the next server restart. Unbanning a player will remove the ban from the list and the player will be able to join again","Hier kannst du Spieler vom Server sperren. Entweder du wählst den Spieler in der Spielerliste aus und klickst dann im Menü Spielerinfo auf Bannen, oder du klickst auf Neuer Bann und wählst einen Spieler aus. Wenn du keinen Spieler auswählst, kannst du die Steamid und den Namen des Spielers manuell eingeben, wenn er nie auf deinem Server gespielt hat. Du kannst Spieler dauerhaft oder für eine bestimmte Dauer sperren. Du kannst hier auch nach Sperren suchen. Du kannst nach dem gesperrten Spieler, dem Admin, der den Spieler gesperrt hat und dem Grund filtern. Du kannst auch abgelaufene Sperren ausblenden. Abgelaufene Banns werden beim nächsten Server-Neustart gelöscht. Das Aufheben eines Bans entfernt den Bann von der Liste und der Spieler kann wieder beitreten.","Here you can ban players from your server. You can either select the player in the player list and then click on Ban in the Player Info menu, or you click on new ban and select a player. When not selecting a player, you can enter the steamid and name of the player manually if he never played on your server. You can ban players permanently or for a certain duration. You can also search for bans here. You can filter by the banned player, the admin, who banned the player and the reason. You can also hide expired bans. Expired bans are deleted on the next server restart. Unbanning a player will remove the ban from the list and the player will be able to join again","Here you can ban players from your server. You can either select the player in the player list and then click on Ban in the Player Info menu, or you click on new ban and select a player. When not selecting a player, you can enter the steamid and name of the player manually if he never played on your server. You can ban players permanently or for a certain duration. You can also search for bans here. You can filter by the banned player, the admin, who banned the player and the reason. You can also hide expired bans. Expired bans are deleted on the next server restart. Unbanning a player will remove the ban from the list and the player will be able to join again","Here you can ban players from your server. You can either select the player in the player list and then click on Ban in the Player Info menu, or you click on new ban and select a player. When not selecting a player, you can enter the steamid and name of the player manually if he never played on your server. You can ban players permanently or for a certain duration. You can also search for bans here. You can filter by the banned player, the admin, who banned the player and the reason. You can also hide expired bans. Expired bans are deleted on the next server restart. Unbanning a player will remove the ban from the list and the player will be able to join again","Tutaj możesz zbanować graczy na swoim serwerze. Możesz wybrać gracza z listy i kliknąć „Zbanuj” w menu informacji o graczu lub kliknąć „Nowy ban” i wybrać gracza. Jeśli nie wybierzesz gracza, możesz ręcznie wpisać SteamID i nazwę gracza, jeśli nigdy nie grał na Twoim serwerze. Możesz banować graczy na stałe lub na określony czas. Możesz także wyszukiwać bany. Możesz filtrować według zbanowanego gracza, administratora, który nałożył bana oraz powodu. Możesz również ukryć wygasłe bany. Wygasłe bany są usuwane przy następnym restarcie serwera. Odbanowanie gracza usuwa bana z listy i pozwala mu ponownie dołączyć.","Here you can ban players from your server. You can either select the player in the player list and then click on Ban in the Player Info menu, or you click on new ban and select a player. When not selecting a player, you can enter the steamid and name of the player manually if he never played on your server. You can ban players permanently or for a certain duration. You can also search for bans here. You can filter by the banned player, the admin, who banned the player and the reason. You can also hide expired bans. Expired bans are deleted on the next server restart. Unbanning a player will remove the ban from the list and the player will be able to join again","Here you can ban players from your server. You can either select the player in the player list and then click on Ban in the Player Info menu, or you click on new ban and select a player. When not selecting a player, you can enter the steamid and name of the player manually if he never played on your server. You can ban players permanently or for a certain duration. You can also search for bans here. You can filter by the banned player, the admin, who banned the player and the reason. You can also hide expired bans. Expired bans are deleted on the next server restart. Unbanning a player will remove the ban from the list and the player will be able to join again","Here you can ban players from your server. You can either select the player in the player list and then click on Ban in the Player Info menu, or you click on new ban and select a player. When not selecting a player, you can enter the steamid and name of the player manually if he never played on your server. You can ban players permanently or for a certain duration. You can also search for bans here. You can filter by the banned player, the admin, who banned the player and the reason. You can also hide expired bans. Expired bans are deleted on the next server restart. Unbanning a player will remove the ban from the list and the player will be able to join again","Here you can ban players from your server. You can either select the player in the player list and then click on Ban in the Player Info menu, or you click on new ban and select a player. When not selecting a player, you can enter the steamid and name of the player manually if he never played on your server. You can ban players permanently or for a certain duration. You can also search for bans here. You can filter by the banned player, the admin, who banned the player and the reason. You can also hide expired bans. Expired bans are deleted on the next server restart. Unbanning a player will remove the ban from the list and the player will be able to join again","Here you can ban players from your server. You can either select the player in the player list and then click on Ban in the Player Info menu, or you click on new ban and select a player. When not selecting a player, you can enter the steamid and name of the player manually if he never played on your server. You can ban players permanently or for a certain duration. You can also search for bans here. You can filter by the banned player, the admin, who banned the player and the reason. You can also hide expired bans. Expired bans are deleted on the next server restart. Unbanning a player will remove the ban from the list and the player will be able to join again","Here you can ban players from your server. You can either select the player in the player list and then click on Ban in the Player Info menu, or you click on new ban and select a player. When not selecting a player, you can enter the steamid and name of the player manually if he never played on your server. You can ban players permanently or for a certain duration. You can also search for bans here. You can filter by the banned player, the admin, who banned the player and the reason. You can also hide expired bans. Expired bans are deleted on the next server restart. Unbanning a player will remove the ban from the list and the player will be able to join again","Here you can ban players from your server. You can either select the player in the player list and then click on Ban in the Player Info menu, or you click on new ban and select a player. When not selecting a player, you can enter the steamid and name of the player manually if he never played on your server. You can ban players permanently or for a certain duration. You can also search for bans here. You can filter by the banned player, the admin, who banned the player and the reason. You can also hide expired bans. Expired bans are deleted on the next server restart. Unbanning a player will remove the ban from the list and the player will be able to join again","Here you can ban players from your server. You can either select the player in the player list and then click on Ban in the Player Info menu, or you click on new ban and select a player. When not selecting a player, you can enter the steamid and name of the player manually if he never played on your server. You can ban players permanently or for a certain duration. You can also search for bans here. You can filter by the banned player, the admin, who banned the player and the reason. You can also hide expired bans. Expired bans are deleted on the next server restart. Unbanning a player will remove the ban from the list and the player will be able to join again",
